tf	species	dataset
KDM1A	Homo sapiens	ENCSR639GWS.KDM1A.A-549;ENCSR115BLD.KDM1A.Hep-G2;ENCSR000ATX.KDM1A.K-562;ENCSR360HRA.KDM1A.K-562;ENCSR908CMW.KDM1A.K-562;ENCSR418RRF.KDM1A.WA01;GSE45441.KDM1A.HeLa;GSE57702.KDM1A.keratinocyte_diff;GSE71739.KDM1A.SKNO1_DMSO;GSE71739.KDM1A.SKNO1_GSK690;GSE71739.KDM1A.SKNO1_RN1;GSE71739.KDM1A.Kasumi-1_DMSO;GSE71739.KDM1A.Kasumi-1_GSK690;GSE71739.KDM1A.Kasumi-1_RN1;GSE66297.KDM1A.NCI-H526_DMSO;GSE58258.KDM1A_8A.SH-SY5Y_B0_SHLSD18A;GSE58258.KDM1A_8A.SH-SY5Y_B3_SHCTR;GSE58258.KDM1A_8A.SH-SY5Y_B3_SHLSD18A;GSE58258.KDM1A.SH-SY5Y_B0;GSE58258.KDM1A.SH-SY5Y_B0_SHLSD18A;GSE58258.KDM1A.SH-SY5Y_B3;GSE64467.KDM1A.T-47D-MTVL
KDM1B	Homo sapiens	GSE59694.KDM1B.Hep-G2
KDM3A	Homo sapiens	ENCSR387JKT.KDM3A.Hep-G2
KDM4A	Homo sapiens	ENCSR000AVC.KDM4A.WA01
KDM4B	Homo sapiens	ENCSR642VZY.KDM4B.K-562
KDM4C	Homo sapiens	GSE53938.KDM4C.KYSE150
KDM5A	Homo sapiens	ENCSR933MHJ.KDM5A.A-549;ENCSR000AQL.KDM5A.WA01;ENCSR160ZLP.KDM5A.WA01;GSE80593.KDM5A.T-47D_DMSO;GSE80593.KDM5A.T-47D_MK2206
KDM5B	Homo sapiens	ENCSR000AQA.KDM5B.K-562;ENCSR000AUR.KDM5B.WA01;GSE46055.KDM5B.HCC2157;GSE46055.KDM5B.SUM159;GSE46055.KDM5B.SUM185;GSE46055.KDM5B.SUM185_SHCTCF;GSE46055.KDM5B.MCF-7;GSE46055.KDM5B.MDA-MB-231;GSE46055.KDM5B.T-47D
KDM6B	Homo sapiens	GSE56694.KDM6B.CUTLL1
KLF1	Homo sapiens	ENCSR859BMR.KLF1.HEK293;ENCSR550HCT.KLF1.K-562;GSE43625.KLF1.erythroid_R3R4;GSE76494.KLF1.HEK293;GSE97671.KLF1.HUDEP-2_S2;GSE97671.KLF1.HUDEP-2_S4
KLF10	Homo sapiens	ENCSR006GAQ.KLF10.HEK293;GSE97661.KLF10.Hep-G2;GSE97661.KLF10.MCF-7
KLF12	Homo sapiens	GSE76494.KLF12.HEK293
KLF13	Homo sapiens	ENCSR946ZLI.KLF13.HEK293;ENCSR608HVP.KLF13.K-562
KLF14	Homo sapiens	ENCSR780ESQ.KLF14.HEK293
KLF15	Homo sapiens	GSE76494.KLF15.HEK293
KLF16	Homo sapiens	ENCSR397DQC.KLF16.HEK293;ENCSR760UVO.KLF16.K-562
KLF17	Homo sapiens	ENCSR065WUF.KLF17.HEK293
KLF3	Homo sapiens	GSE69739.KLF3.HEK293
KLF4	Homo sapiens	GSE105028.KLF4.WA09;GSE105028.KLF4.WA09_heat-shock;GSE36570.KLF4.BJ_INDUCED;GSE17917.KLF4.hESC;GSE57702.KLF4.keratinocyte_diff;GSE64557.KLF4.PDAC;GSE41561.KLF4.MCF-7;GSE56567.KLF4.hiPSC;GSE81899.KLF4.OSK
KLF5	Homo sapiens	ENCSR974OFJ.KLF5.GM12878;GSE51705.KLF5.AGS;GSE51234.KLF5.GP5D;GSE51234.KLF5.GP5D_SIRAD21;GSE88976.KLF5.HCC95;GSE88976.KLF5.HCC95_E419Q;GSE88976.KLF5.HEK293;GSE88976.KLF5.HEK293_D418N;GSE88976.KLF5.HEK293_E419K;GSE88976.KLF5.HEK293_E419Q;GSE51705.KLF5.KATOIII;GSE51290.KLF5.LoVo_PHASEM;GSE51290.KLF5.LoVo_PHASES;GSE51705.KLF5.YCC-3;GSE88976.KLF5.BICR_-31
KLF6	Homo sapiens	ENCSR757EKM.KLF6.Hep-G2;GSE64557.KLF6.PDAC
KLF7	Homo sapiens	ENCSR604VWJ.KLF7.HEK293;GSE76494.KLF7.HEK293
KLF8	Homo sapiens	ENCSR635NOQ.KLF8.HEK293
KLF9	Homo sapiens	ENCSR076EZB.KLF9.HEK293;ENCSR125ZYC.KLF9.MCF-7;GSE62211.KLF9.GBM1A
KMT2A	Homo sapiens	GSE54344.KMT2A.CD34;GSE83671.KMT2A.SEM;GSE83671.KMT2A.CCRF-CEM;GSE83671.KMT2A.KOPN-8;GSE83671.KMT2A.MV4-11;GSE83671.KMT2A.RCH-ACV;GSE83671.KMT2A.THP-1;GSE38403.KMT2A.RS4-11;GSE83671.KMT2A.blood_cord;GSE83671.KMT2A.bone-marrow_fetal;GSE83671.KMT2A.L826;GSE95511.KMT2A.SHI-1
KMT2B	Homo sapiens	GSE112074.KMT2B.AML;GSE112074.KMT2B.AML_OG86;GSE67494.KMT2B.B-cell_GERMINAL_CENTER_TONSIL
KMT2D	Homo sapiens	GSE85317.KMT2D.MCF-7
L3MBTL2	Homo sapiens	ENCSR862PNL.L3MBTL2.HEK293T;ENCSR530XQI.L3MBTL2.K-562;GSE28162.L3MBTL2.K-562
L3MBTL4	Homo sapiens	GSE97661.L3MBTL4.Hep-G2
LCORL	Homo sapiens	ENCSR950NAZ.LCORL.Hep-G2
LDB1	Homo sapiens	GSE52637.LDB1.HEP
LEF1	Homo sapiens	ENCSR240XWM.LEF1.HEK293T;ENCSR343ELW.LEF1.K-562;ENCSR832OGB.LEF1.K-562;GSE64758.LEF1.hESC;GSE64758.LEF1.hESC_WNT3A
LEO1	Homo sapiens	GSE83671.LEO1.SEM
LHX2	Homo sapiens	GSE60024.LHX2.retina_pigment
LMO1	Homo sapiens	GSE94391.LMO1.Jurkat
LMO2	Homo sapiens	GSE33850.LMO2.CCRF-CEM;GSE43834.LMO2.Kasumi-1;GSE60130.LMO2.Kasumi-1_SICTR;GSE60130.LMO2.Kasumi-1_SIRUNX1ETO;GSE60477.LMO2.TSU-1621MT
LRWD1	Homo sapiens	GSE20303.LRWD1.HeLa
LYL1	Homo sapiens	GSE63484.LYL1.NB4;GSE63484.LYL1.Kasumi-1;GSE63484.LYL1.THP-1;GSE60477.LYL1.TSU-1621MT
MAF	Homo sapiens	GSE101389.MAF.lymphocyte_Th17_IL10+_Day5;GSE72266.MAF.CD4_TH1;GSE72266.MAF.CD4_TH2;GSE52953.MAF.keratinocyte_epidermal_PROLIF;GSE98367.MAF.monocyte;GSE98367.MAF.monocyte_INFg
MAF1	Homo sapiens	GSE96800.MAF1.THP-1_macrophage_PMA;GSE96800.MAF1.THP-1_monocytes
MAFB	Homo sapiens	ERP004003.MAFB.islet;GSE52953.MAFB.keratinocyte_epidermal_PROLIF
MAFF	Homo sapiens	ENCSR237YZZ.MAFF.GM12878;ENCSR000EEC.MAFF.Hep-G2;ENCSR000EGI.MAFF.K-562;ENCSR140DSL.MAFF.HeLa-S3
MAFG	Homo sapiens	ENCSR818DQV.MAFG.K-562
MAFK	Homo sapiens	ENCSR000DYV.MAFK.GM12878;ENCSR541WQI.MAFK.A-549;ENCSR000EDZ.MAFK.Hep-G2;ENCSR000EEB.MAFK.Hep-G2;ENCSR000EFH.MAFK.IMR-90;ENCSR000EGX.MAFK.K-562;ENCSR555PBN.MAFK.MCF-7;ENCSR000EBS.MAFK.WA01;ENCSR000ECK.MAFK.HeLa-S3;GSE47784.MAFK.OCI-Ly7
MAML3	Homo sapiens	GSE69119.MAML3.SK-N-SH;GSE69119.MAML3.SK-N-SH_RA
MAX	Homo sapiens	ENCSR000EEZ.MAX.endothelial_umbilical-vein;ENCSR000DZF.MAX.GM12878;ENCSR000BTY.MAX.Ishikawa;ENCSR521IID.MAX.liver;ENCSR847DIT.MAX.liver;ENCSR000EHS.MAX.NB4;ENCSR000BTJ.MAX.A-549;ENCSR000DYG.MAX.A-549;ENCSR000BTM.MAX.Hep-G2;ENCSR000EDS.MAX.Hep-G2;ENCSR000BLP.MAX.K-562;ENCSR000EFV.MAX.K-562;ENCSR000FAE.MAX.K-562;ENCSR000BUL.MAX.MCF-7;ENCSR000BVD.MAX.SK-N-SH;ENCSR000BSJ.MAX.WA01;ENCSR000EUP.MAX.WA01;ENCSR000BSH.MAX.HCT-116;ENCSR000ECN.MAX.HeLa-S3;ENCSR000EZF.MAX.HeLa-S3;GSE41105.MAX.H128;GSE81381.MAX.MDA-MB-468;GSE69877.MAX.MKL-1;GSE36354.MAX.NCI-H2171;GSE41105.MAX.NCI-H2171;GSE36354.MAX.P493-6;GSE36354.MAX.P493-6_CMYC_1H;GSE36354.MAX.P493-6_CMYC_24H;GSE42262.MAX.P493-6;GSE36354.MAX.U-87MG;GSE42161.MAX.MM1-S_JQ1
MAZ	Homo sapiens	ENCSR000DZA.MAZ.GM12878;ENCSR290SSQ.MAZ.HEK293;ENCSR636YLV.MAZ.A-549;ENCSR000EDN.MAZ.Hep-G2;ENCSR000EFF.MAZ.IMR-90;ENCSR000EFX.MAZ.K-562;ENCSR288IJC.MAZ.MCF-7;ENCSR000ECL.MAZ.HeLa-S3;GSE76494.MAZ.HEK293;GSE57499.MAZ.T778
MBD1	Homo sapiens	ENCSR260UJI.MBD1.Hep-G2;ENCSR396QWK.MBD1_ISOF1.Hep-G2
MBD2	Homo sapiens	ENCSR221GAN.MBD2.K-562;ENCSR940MHE.MBD2.MCF-7;GSE41006.MBD2.HeLa;GSE63233.MBD2.HMLER;GSE63233.MBD2.HMEC-1;GSE54693.MBD2.MCF-7
MBD3	Homo sapiens	GSE41006.MBD3.HeLa;GSE44737.MBD3.MCF-7
MBD4	Homo sapiens	ENCSR000BQW.MBD4.Hep-G2
MCM2	Homo sapiens	ENCSR552PSV.MCM2.K-562
MCM3	Homo sapiens	ENCSR990AZC.MCM3.K-562
MCM5	Homo sapiens	ENCSR079WHK.MCM5.K-562;ENCSR628APV.MCM5.K-562
MCM7	Homo sapiens	ENCSR038RGL.MCM7.K-562;ENCSR068VRA.MCM7.K-562;ENCSR542WJU.MCM7.K-562
MCRS1	Homo sapiens	GSE107730.MCRS1.Hep-G2
MDM2	Homo sapiens	GSE64439.MDM2.H1299
MECOM	Homo sapiens	GSE102697.MECOM.SKH1;GSE102697.MECOM.SKH1_CEBPA-ER;GSE102697.MECOM.SKH1_CEBPA-ER_E2;GSE102697.MECOM.SKH1_E2
MED	Homo sapiens	GSE83671.MED.SEM
MED1	Homo sapiens	GSE104537.MED1.hMSC-TERT4_4h;GSE104537.MED1.hMSC-TERT4_D0;GSE104537.MED1.hMSC-TERT4_D1;GSE104537.MED1.hMSC-TERT4_D14;GSE104537.MED1.hMSC-TERT4_D3;GSE104537.MED1.hMSC-TERT4_D7;GSE62482.MED1.CD4_TH1_BAY;GSE62482.MED1.CD4_TH1_DMSO;GSE93080.MED1.GM12878;GSE69646.MED1.hESC_PRIMED;GSE59657.MED1.Jurkat;GSE39277.MED1.LS180;GSE39277.MED1.LS180_125;GSE60026.MED1.myoblast;GSE64233.MED1.SGBS;GSE64233.MED1.SGBS_TNF;GSE76893.MED1.A-549;GSE76893.MED1.Hep-G2;GSE60270.MED1.MCF-7;GSE60270.MED1.MCF-7_E2;GSE60270.MED1.MCF-7_SHCTR;GSE60270.MED1.MCF-7_SHCTR_E2;GSE60270.MED1.MCF-7_SHRARS;GSE60270.MED1.MCF-7_SHRARS_E2;GSE76893.MED1.MCF-7;GSE65138.MED1.MOLM-14;GSE36354.MED1.NCI-H2171;GSE53601.MED1.OCI-Ly1;GSE36354.MED1.P493-6;GSE36354.MED1.P493-6_CMYC_1H;GSE36354.MED1.P493-6_CMYC_24H;GSE83726.MED1.RH4;GSE87418.MED1.SUM159PT_100nMtrametinib_24h;GSE87418.MED1.SUM159PT_100nMtrametinib300nMJQ1_24h;GSE87418.MED1.SUM159PT_300nMJQ1_24h;GSE87418.MED1.SUM159PT_DMSO_24h;GSE36354.MED1.MM1-S_DMSO;GSE36354.MED1.U-87MG;GSE42161.MED1.MM1-S_JQ1;GSE42355.MED1.MM1-S_JQ1_500NM;GSE45984.MED1.MM1-S_BIORU;GSE49224.MED1.MM1-S_JQ1_5000NM;GSE49224.MED1.MM1-S_JQ1_50NM;GSE49224.MED1.MM1-S_JQ1_5NM;GSE85628.MED1.cardiomyocyte;GSE85628.MED1.cardiomyocyte_1;GSE85628.MED1.cardiomyocyte_5;GSE85628.MED1.cardiomyocyte_7;GSE85628.MED1.G296S;GSE85628.MED1.G296S_2;GSE85628.MED1.G296S_4;GSE93905.MED1.dopaminergic-neuron_Dopamine_neurons;GSE97661.MED1.K-562;GSE95121.MED1.MDA-MB-231;GSE95121.MED1.MDA-MB-231_45min;GSE95121.MED1.MDA-MB-231_LQ;GSE95121.MED1.MDA-MB-231_LQ_45min
MED12	Homo sapiens	GSE101559.MED12.MCF-7_siCTL_E2
MED26	Homo sapiens	GSE73742.MED26.U2OS_SHCTR;GSE73742.MED26.U2OS_SHEP400
MEF2A	Homo sapiens	ENCSR000BKB.MEF2A.GM12878;ENCSR000BNV.MEF2A.K-562;ENCSR000BVC.MEF2A.SK-N-SH
MEF2B	Homo sapiens	ENCSR177VFS.MEF2B.GM12878;GSE69558.MEF2B.DOHH2;GSE69558.MEF2B.KARPAS422;GSE69558.MEF2B.OCI-Ly7;GSE110682.MEF2B.DLBCL;GSE110682.MEF2B.tonsil
MEF2C	Homo sapiens	ENCSR000BNG.MEF2C.GM12878;GSE32644.MEF2C.HUVEC-C;GSE32644.MEF2C.HUVEC-C_STATIN;GSE109492.MEF2C.MOLM-13
MEF2D	Homo sapiens	ENCSR647ZXA.MEF2D.K-562
MEIS1	Homo sapiens	ERR063469.MEIS1.CHRF28811;GSE26014.MEIS1.HSPC;GSE38339.MEIS1.SEM
MEIS2	Homo sapiens	ENCSR851BNE.MEIS2.K-562
MEN1	Homo sapiens	GSE83671.MEN1.SEM;GSE86504.MEN1.HT-1080;GSE85317.MEN1.MCF-7;GSE85317.MEN1.MCF-7_E2;GSE95511.MEN1.ML-2
MGA	Homo sapiens	ENCSR710WLO.MGA.K-562
MIER1	Homo sapiens	ENCSR426MDV.MIER1.K-562
MIER2	Homo sapiens	ENCSR115PIK.MIER2.Hep-G2
MIER3	Homo sapiens	ENCSR531VIJ.MIER3.Hep-G2
MITF	Homo sapiens	ENCSR000FCB.MITF.K-562;ENCSR797SWM.MITF.K-562;GSE61965.MITF.501MEL;GSE64137.MITF.501MEL;GSE50681.MITF.melanocyte_BRAFV600E;GSE50681.MITF.melanocyte_CTR;GSE60024.MITF.retina_pigment
MIXL1	Homo sapiens	ENCSR966PJY.MIXL1.Hep-G2
MLL	Homo sapiens	GSE79899.MLL.MV4-11;GSE79899.MLL.THP-1
MLL4	Homo sapiens	GSE115985.MLL4.SW480
MLLT1	Homo sapiens	ENCSR552XSN.MLLT1.GM12878;ENCSR107GRP.MLLT1.K-562;ENCSR675LRO.MLLT1.K-562;ENCSR427BBI.MLLT1.MCF-7;GSE82116.MLLT1.MOLM-13;GSE82116.MLLT1_FKB.MV4-11;GSE82116.MLLT1.MV4-11
MLLT3	Homo sapiens	GSE54344.MLLT3.CD34;GSE68332.MLLT3.NPCS;GSE79899.MLLT3.THP-1
MLX	Homo sapiens	ENCSR125DAD.MLX.Hep-G2
MNT	Homo sapiens	ENCSR261EDU.MNT.Hep-G2;ENCSR730TBC.MNT.Hep-G2;ENCSR390VGH.MNT.K-562;ENCSR512NLO.MNT.K-562;ENCSR979QYJ.MNT.K-562;ENCSR663ZZZ.MNT.MCF-7
MORC2	Homo sapiens	GSE95451.MORC2.HeLa_V5-HUSH-KO;GSE95451.MORC2.HeLa_V5-MORC2-KO;GSE95451.MORC2.HeLa_V5-MORC2-KO-W505A-MORC2-mut;GSE95374.MORC2.H9;GSE95374.MORC2.K-562;GSE95374.MORC2.K-562_MPP8-KO;GSE95374.MORC2.K-562_TASOR-KO
MPHOSPH8	Homo sapiens	GSE95374.MPHOSPH8.H9
MRTFA	Homo sapiens	GSE92738.MRTFA.A-673-clone-Asp114
MRTFB	Homo sapiens	GSE92738.MRTFB.A-673-clone-Asp114;GSE94480.MRTFB.A-673-clone-Asp114_dox
MTA1	Homo sapiens	ENCSR807BGP.MTA1.K-562;ENCSR348JOJ.MTA1.MCF-7
MTA2	Homo sapiens	ENCSR293QAR.MTA2.GM12878;ENCSR113LAS.MTA2.K-562;ENCSR411UYA.MTA2.K-562;ENCSR551ZDZ.MTA2.MCF-7
MTA3	Homo sapiens	ENCSR000BRH.MTA3.GM12878;ENCSR180NCY.MTA3.K-562;ENCSR914NEI.MTA3.K-562;ENCSR391KQC.MTA3.MCF-7
MXD3	Homo sapiens	ENCSR909GJR.MXD3.Hep-G2
MXD4	Homo sapiens	ENCSR441KFW.MXD4.Hep-G2
MXI1	Homo sapiens	ENCSR000DZI.MXI1.GM12878;ENCSR934NHU.MXI1.neural;ENCSR000EDU.MXI1.Hep-G2;ENCSR000EFE.MXI1.IMR-90;ENCSR000EGZ.MXI1.K-562;ENCSR000EIA.MXI1.SK-N-SH;ENCSR000EBR.MXI1.WA01;ENCSR000ECU.MXI1.HeLa-S3
MYB	Homo sapiens	ENCSR819ATC.MYB.GM12878;GSE72266.MYB.CD4_TH1;GSE72266.MYB.CD4_TH2;GSE59657.MYB.Jurkat;GSE94000.MYB.Loucy;GSE94000.MYB.DU528;GSE59657.MYB.MOLT-3;GSE94240.MYB.MV4-11;GSE94240.MYB.MV4-11_TG3;GSE94000.MYB.PF-382;GSE90769.MYB.THP-1;GSE90769.MYB.THP-1_OG86;GSE98006.MYB.U-937_ATRA-treated_MYB;GSE98006.MYB.U-937_vehicle-treated_MYB
MYBL2	Homo sapiens	ENCSR000BRO.MYBL2.Hep-G2;ENCSR162IEM.MYBL2.K-562;GSE62425.MYBL2.HMEC-1
MYC	Homo sapiens	ENCSR000DLU.MYC.endothelial_umbilical-vein;ENCSR000DKU.MYC.GM12878;ERP004110.MYC.LCL;ENCSR000EHR.MYC.NB4;ENCSR000DYC.MYC.A-549;ENCSR000DLR.MYC.Hep-G2;ENCSR000DLZ.MYC.K-562;ENCSR000EGJ.MYC.K-562;ENCSR000EGS.MYC.K-562;ENCSR000EZU.MYC.K-562;ENCSR000EZV.MYC.K-562;ENCSR000FAG.MYC.K-562;ENCSR000FAZ.MYC.K-562;ENCSR000DOM.MYC.MCF-10A;ENCSR000DOS.MYC.MCF-10A;ENCSR000DMJ.MYC.MCF-7;ENCSR000DMM.MYC.MCF-7;ENCSR000DMP.MYC.MCF-7;ENCSR000DMQ.MYC.MCF-7;GSE101853.MYC.P493-6_Dpy30-shRNA;GSE101853.MYC.P493-6_scramble-shRNA;ENCSR000DLI.MYC.WA01;ENCSR000EBY.MYC.WA01;ENCSR000DLN.MYC.HeLa-S3;ENCSR000EZD.MYC.HeLa-S3;GSE70098.MYC.BE2C_SHCTR;GSE70098.MYC.BE2C_SHWDR5;GSE36570.MYC.BJ;GSE36570.MYC.BJ_INDUCED;GSE30726.MYC.BL41;GSE30726.MYC.BLUE1;GSE66252.MYC.breast_primary;GSE30726.MYC.CA46;GSE85488.MYC.CD34;GSE90716.MYC.CUTLL1;GSE51234.MYC.GP5D;GSE51234.MYC.GP5D_SIRAD21;GSE41105.MYC.H128;GSE44672.MYC.HeLa;GSE17917.MYC.hESC;GSE65544.MYC.HFF_OHT;GSE65544.MYC.HFF_OHT_SHBPTF;GSE70001.MYC.IMEC;GSE86412.MYC.IMEC;GSE86412.MYC.IMEC_MYC;GSE83777.MYC.Jurkat;GSE73994.MYC.LNCaP_MYC;GSE51290.MYC.LoVo_PHASEM;GSE51290.MYC.LoVo_PHASES;GSE59223.MYC.LS174T_BI8622;GSE59223.MYC.LS174T_DMSO;GSE47152.MYC.PAVE;GSE30726.MYC.Raji;GSE30726.MYC.Ramos;GSE44672.MYC.U2OS;GSE44672.MYC.U2OS_Doxy;GSE77328.MYC.U2OS_Doxy;GSE77328.MYC.U2OS_EtOH;GSE77328.MYC.U2OS_HA-OmoMYCwt_Doxy;GSE77328.MYC.U2OS_HA-OmoMYCwt_EtOH;GSE77356.MYC.U2OS;GSE77356.MYC.U2OS_Doxy;GSE77356.MYC.U2OS_SHMYC;GSE77356.MYC.U2OS_SHRCTR;GSE117240.MYC.DLD-1_MYC-activated;GSE86504.MYC.HT-1080;GSE93030.MYC.HUVEC-C;GSE48602.MYC.MDA-MB-231;GSE45201.MYC.MDA-MB-453_DHT;GSE36354.MYC.NCI-H2171;GSE41105.MYC.NCI-H2171;GSE36354.MYC.P493-6;GSE36354.MYC.P493-6_CMYC_1H;GSE36354.MYC.P493-6_CMYC_24H;GSE42262.MYC.P493-6;GSE60223.MYC.P493-6_SHCTR;GSE60223.MYC.P493-6_SHTERC;GSE60223.MYC.P493-6_SHTERT;GSE36354.MYC.MM1-S_DMSO;GSE36354.MYC.U-87MG;GSE42161.MYC.MM1-S_JQ1;GSE70275.MYC.GEN2-2;GSE81899.MYC.OSKM;GSE86556.MYC.HCT-116;GSE95303.MYC.MDA-MB-231;GSE86412.MYC.iMEC
MYCN	Homo sapiens	ERP013415.MYCN.SH-SY5Y;ERP013415.MYCN.SH-SY5Y_OVERMYCN_24H;ERP013415.MYCN.SH-SY5Y_OVERMYCN_48H;ERP013415.MYCN.SMS-KCN;ERP013415.MYCN.SMS-KCNR;GSE72640.MYCN.BE2C;GSE80151.MYCN.BE2C;GSE80151.MYCN.Kelly;GSE80151.MYCN.NGP;GSE83726.MYCN.RH4;GSE80151.MYCN.SH-EP_2h;GSE80151.MYCN.SH-EP_6h;GSE80151.MYCN.SHEP-21N;GSE80151.MYCN.SHEP-21N_24h;GSE80151.MYCN.SHEP-21N_DOX_0H;GSE80151.MYCN.SHEP-21N_DOX_24H;GSE80151.MYCN.SK-N-BE2-C;GSE83317.MYCN.MYCN-3_high;GSE83317.MYCN.MYCN-3_low;GSE94782.MYCN.Kelly;GSE94822.MYCN.Kelly;GSE94782.MYCN.NGP;GSE94782.MYCN.NB-1643;GSE94822.MYCN.SK-N-BE2-C
MYF5	Homo sapiens	GSE84628.MYF5.Rh18
MYNN	Homo sapiens	ENCSR707BNG.MYNN.HEK293;ENCSR737LTZ.MYNN.K-562;GSE76494.MYNN.HEK293
MYOD1	Homo sapiens	GSE50413.MYOD1.myoblast;GSE50413.MYOD1.RHABDOMYOSARCOMA;GSE85169.MYOD1.RH30_DMSO;GSE83726.MYOD1.RH4
MYOG	Homo sapiens	GSE85169.MYOG.RH30_DMSO;GSE83726.MYOG.RH4
MZF1	Homo sapiens	ENCSR298QUH.MZF1.HEK293;GSE76494.MZF1.HEK293
NAB2	Homo sapiens	GSE106359.NAB2.HL-60_PMA
NANOG	Homo sapiens	GSE105028.NANOG.WA09;GSE105028.NANOG.WA09_heat-shock;ENCSR061DGF.NANOG.GM23338;ENCSR000BMT.NANOG.WA01;ERP004238.NANOG.WA01;ERP004238.NANOG.WA01_3IL;GSE18292.NANOG.hESC;GSE20650.NANOG.hESC;GSE74799.NANOG.LNCaP_pNanog1_Dox;GSE74799.NANOG.LNCaP_pNanog8;GSE74799.NANOG.LNCaP_pNanog8_Dox
NBN	Homo sapiens	ENCSR278SQL.NBN.GM12878;ENCSR210ZYL.NBN.Hep-G2;ENCSR085QEV.NBN.K-562;ENCSR591EBL.NBN.MCF-7
NCAPH2	Homo sapiens	GSE97540.NCAPH2.HEK293
NCOA1	Homo sapiens	ENCSR658WFQ.NCOA1.K-562;ENCSR711SNW.NCOA1.K-562;ENCSR931HNY.NCOA1.K-562;ERP000901.NCOA1.MCF-7;ERP000901.NCOA1.MCF-7_E2;GSE39277.NCOA1.LS180;GSE39277.NCOA1.LS180_125;GSE26110.NCOA1.U2OS_E2
NCOA2	Homo sapiens	ENCSR349TZO.NCOA2.K-562;ENCSR803EKW.NCOA2.K-562;ERP000901.NCOA2.MCF-7;ERP000901.NCOA2.MCF-7_E2;GSE99887.NCOA2_pS469.THP-1_Dex;GSE99887.NCOA2.THP-1_Dex
NCOA3	Homo sapiens	ENCSR573OJP.NCOA3.MCF-7;ENCSR686SOV.NCOA3.MCF-7;ERP000901.NCOA3.MCF-7;ERP000901.NCOA3.MCF-7_E2;GSE32349.NCOA3.H3396_E2
NCOA4	Homo sapiens	GSE102584.NCOA4.erythroblast_GC-1;ENCSR119ULQ.NCOA4.K-562
NCOA6	Homo sapiens	ENCSR168CEE.NCOA6.K-562
NCOR1	Homo sapiens	ENCSR000ATY.NCOR1.K-562;ENCSR298JCG.NCOR1.K-562;ENCSR798ILC.NCOR1.K-562;ENCSR910JAI.NCOR1.K-562;GSE35197.NCOR1.HEK293T_SICTR;GSE35197.NCOR1.HEK293T_SIGSP2;GSE39277.NCOR1.LS180;GSE39277.NCOR1.LS180_125;GSE29282.NCOR1.OCI-Ly1
NCOR2	Homo sapiens	GSE39277.NCOR2.LS180;GSE39277.NCOR2.LS180_125;GSE29282.NCOR2.OCI-Ly1;GSE43350.NCOR2.B-cell_GERMINAL_CENTER
NELFA	Homo sapiens	GSE100742.NELFA.HeLa_Flavo-0-H2O2;GSE100742.NELFA.HeLa_Flavo-10min-H2O2;GSE100742.NELFA.HeLa_Flavo-35min-H2O2;GSE100742.NELFA.HeLa_Flavo-PJ34-0-H2O2;GSE100742.NELFA.HeLa_Flavo-PJ34-10min-H2O2;ERP010664.NELFA.BT-474;ERP010664.NELFA.BT-474_INHHDAC;GSE93931.NELFA.HeLa_1h-Flavo-0-H2O2;GSE93931.NELFA.HeLa_1h_Flavo-35min-H2O2;GSE93931.NELFA.HeLa_40min-Flavo-0-H2O2;GSE93931.NELFA.HeLa_40min-Flavo-10min-H2O2;GSE93931.NELFA.HeLa_40min-Flavo-PJ34-0-H2O2;GSE93931.NELFA.HeLa_40min-Flavo-PJ34-10min-H2O2
NEUROD1	Homo sapiens	ENCSR986CDX.NEUROD1.K-562;ENCSR006WUS.NEUROD1.MCF-7;GSE69394.NEUROD1.NCI-H524;GSE92582.NEUROD1.D283-Med;GSE92582.NEUROD1.D283-Med_shGFP;GSE92582.NEUROD1.D283-Med_shNEUROD1-1154;GSE92582.NEUROD1.D283-Med_shNEUROD1-1579;GSE92582.NEUROD1.D341-Med;GSE92582.NEUROD1.D341-Med_shGFP;GSE92582.NEUROD1.D341-Med_shNEUROD1-1154;GSE92582.NEUROD1.D341-Med_shNEUROD1-1579
NEUROG2	Homo sapiens	GSE75910.NEUROG2.MRC-5_N_02DPT;GSE75910.NEUROG2.MRC-5_N_05DPT;GSE75910.NEUROG2.MRC-5_N_1DPT;GSE75910.NEUROG2.MRC-5_NFD_02DPT;GSE75910.NEUROG2.MRC-5_NFD_05DPT;GSE75910.NEUROG2.MRC-5_NFD_1DPT
NFATC1	Homo sapiens	ENCSR000BQL.NFATC1.GM12878;GSE49428.NFATC1.HUVEC-C;GSE49428.NFATC1.HUVEC-C_VEGF
NFATC3	Homo sapiens	ENCSR437GBJ.NFATC3.GM12878;ENCSR051OUX.NFATC3.K-562;ENCSR670FDA.NFATC3.K-562;GSE97661.NFATC3.Hep-G2
NFE2	Homo sapiens	ENCSR000DZY.NFE2.GM12878;ENCSR000FAF.NFE2.K-562;ENCSR000FCC.NFE2.K-562;ENCSR552YGL.NFE2.K-562;GSE43625.NFE2.erythroid_R3R4;GSE59087.NFE2.ProEs
NFE2L1	Homo sapiens	ENCSR632SHZ.NFE2L1.K-562
